id;name;address;postal_code
1;approach;проспект Namibia Account;здоровье Dollar
2;Гранитный техник;Money мятный;reinvent зеленовато-голубой
3;composite Панама Неодимовый;ул. cross-platform invoice;Ouguiya
4;synergy;monitoring;Неодимовый
5;world-class страховой внутренний;зеленый консультант;Главный
6;навигировать ОС empowering;Международный Enhanced;Национальный интеграционный
7;пл. площадь;маркетинговый;network Грубый
8;маркетинговый;маркетинговый Фантастический;твердотельный
9;логистический Гранитный;Borders Ботинок зашифровать;техник
10;invoice;Гранитный;индексировать Кошелек
